"UPDATED: MARCH 27, 2019",https://github.com/crypto-asset-resources/,RSS Feed,,,,,,,,,,,,
URL,Name,,Titles,Factors: Title,Selection Diversity,Factors: Selection Diversity,Facts / Sources,Factors: Facts / Sources,Content Language,Factors: Content Language,Ads/Promo Experience,Factors: Ads/Promo Experience,Total (out of 5),Notes:
https://cointelegraph.com/,Coin Telegraph,https://cointelegraph.com/rss,2,"click bait, irrelevant, poor choice",2,"bias, agenda, incentivized",2,"assumptions, theory, similar article linked",2,"ambiguous, negative unexpectancy, poor recommendations",2,"annoying, sneaky, subliminal",2,"The website has had backlash for being associated with exchanges and cryptocurrencies, with the intentions to use both resources for unethical self-good."
https://www.ccn.com/,CCN,https://www.ccn.com/feed,3,"poor choice, exaggerated",1,"bias, personal opinion, select agenda, sponsor/news mix up",2,"assumptions, preconceived, similar article linked",1,"negative unexpectancy, ambiguous, poor recommendations, fruitless",4,annoying,2.2,n/a
https://news.bitcoin.com/,Bitcoin.com,https://news.bitcoin.com/feed/,3,"click bait, poor choice",2,"bias, agenda, incentivized",3,"theory, similar article linked",3,"poor recommendations, ambiguous",2,"annoying, sneaky, subliminal",2.6,"The owner and operator of the domain is a conflict of interest towards bitcoin. The website deceives users thinking that Bitcoin is BCH. This is not correct, Bitcoin is BTC and this behavior may cause a conflict of interest in the content you read."
https://cryptovest.com/,CryptoVest,https://cryptovest.com/feed/,4,irrelevent,3,"unimportant selection, personal opinions",1,"assumptions, theory, preconceived, similar article linked",2,"ambiguous, negative unexpectancy, fruitless",3,"annoying, subliminal",2.6,n/a
https://www.coindesk.com/,CoinDesk,https://feeds.feedburner.com/CoinDesk,4,irrelevent,3,"bias, agenda",2,"assumptions, theory, similar article linked",3,"poor recommendations, ambiguous",3,"annoying, subliminal",3,There is backlash that this site is owned by The DCG (Digital Currency Group) and have a select agenda which may cause bias information in their content.
https://www.cryptoninjas.net/,Coin Ninja,https://www.cryptoninjas.net/feed/,4,poor choice,2,"unimportant selection, incentivized, sponsor/news mix up",3,"missing linked sources, linked sources not credible",3,"not enough detail, fuitless",2,"annoying, sneaky, subliminal",2.8,n/a
https://www.newsbtc.com/,News BTC,https://www.newsbtc.com/feed/,2,"poor choice, click bait, boring",4,unimportant selection,2,"assumptions, theory, preconceived, similar article linked",3,"poor recommendations, negative unexpectancy",2,"annoying, poor reading visibility, sneaky",2.6,n/a
https://ambcrypto.com/,AMB Crypto,https://ambcrypto.com/feed/,4,boring,3,"bias, agenda",3,"missing linked sources, theory",3,"poor recommendations, ambiguous",2,"annoying, sneaky, subliminal",3,n/a
https://bitcoinmagazine.com/,Bitcoin Magazine,https://bitcoinmagazine.com/feed/,3,"poor choice, irrelevant",3,"sponsor/news mix up, unimportant selection",3,"preconceived, theory",2,"ambiguous, fruitless, unimportant detail",4,annoying but simple,3,n/a
https://coinrivet.com/,Coin Rivet,Not Found,3,"poor choice, irrelevant",3,"poor selection of experts, personal opinions",3,"assumptions, theory",1,"not enough detail, ambiguous, fruitless, unimportant detail",4,annoying but simple,2.8,n/a
https://toshitimes.com/,Toshi Times,https://toshitimes.com/feed/,3,"poor choice, click bait",3,"unimportant selection, little coverage",3,preconceived. theory,2,"poor recommendations, negative unexpectancy, fruitless",3,"sneaky, subliminal",2.8,n/a
https://coincentral.com/,Coin Central,https://coincentral.com/feed/,3,"poor choice, boring",3,"little coverage, unimportant selections",3,"assumptions, poor choice of source",3,"negative unexpectancy, not enough detail",4,annoying but simple,3.2,
https://themerkle.com/,The Merkle Hash,https://themerkle.com/feed/,3,"poor choice, boring",2,"unimportant selection, bias, personal opinion",2,"poor choice of source, assumptions, preconceived",1,"negative unexpectancy, poor recommendations, fruitless, ambiguous",3,"annoying, sneaky",2.2,
https://bitcoinist.com/,Bitcoinist,https://bitcoinist.com/feed/,2,"irrelevent, boring, poor choice",2,"agenda, sponsor/news mixed, incentivized",2,"similar articles linked, assumptions, theory",3,"unimportant detail, negative unexpectancy",1,"annoying, sneaky, popup, poor reading visibility",2,
https://coingape.com/,Coin Gape,https://coingape.com/feed/,3,"poor choice, click bait",3,"unimportant selection, personal opinion",2,"missing linked sources, similar articles linked, theory",2,"unimportant detail, negative unexpectancy, fruitless",2,"annoying, popup, poor reading visibility",2.4,
https://www.chepicap.com/,Chepicap,https://www.chepicap.com/en/rss,4,exaggerated,3,"unimportant selection, personal opinion",2,"missing linked sources, similar articles linked, poor choice of sources",3,"unimportant detail, negative unexpectancy",3,"annoying, popup",3,
https://blockmanity.com/,Blockmanity,https://blockmanity.com/feed/,3,"poor choice, irrelevant",2,"unimportant selection, personal views, sponser/news mix up",3,"theory, assumption",3,"little detail, ambiguous",2,"annoying, poor reading visibility, subliminal",2.6,
